trace_id,requirement_id,source_requirement_id,screen_id,route_id,route,state_id,platform,viewport,text_scale,test_id,golden_id,golden_sha256,design_node_id,device_evidence_id,expected_result,evidence_path,evidence_sha256,proof_kind,status,cta_id,cta_enabled,handler_ref,feature_flag,accessibility_journey_id,owner,verified_at,reviewer,notes
UI031-TRACE-SCREEN-P1-01,UI031-VIS-SCREEN-P1-01,N/A,P1-01,RT-002,/onboarding,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_entry_golden_test.dart#P1-01 Onboarding golden at 390x844,mobile/test/visual/goldens/day13/p1-01-onboarding-390x844.png,6FE6F051380F41128DA537F2E46D8BFCB3CEE9390540DDAC2CB95BA5E445C818,462:5,N/A,"P1-01 Onboarding appears exactly once in the v0.31 denominator, shows the clean hero and photo picker, and does not display progress rails",output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,onboarding,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:6;change_control=UI031-CHANGE-W8-P1-01-NO-RAILS-02;proof_id=W3-CAN-P1-01-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-02,UI031-VIS-SCREEN-P1-02,N/A,P1-02,RT-003,/auth/login,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_entry_golden_test.dart#P1-02 Login golden at 390x844,mobile/test/visual/goldens/day13/p1-02-login-error-390x844.png,B81781881D33B2EF5A2779F130A61357AA2B7C39081309A1FFD28193507AF596,462:22,N/A,P1-02 Login Screen appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,auth,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:23;proof_id=W3-CAN-P1-02-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-03,UI031-VIS-SCREEN-P1-03,N/A,P1-03,RT-004,/auth/register,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_register_otp_golden_test.dart#P1-03 Register golden at 390x844,mobile/test/visual/goldens/day14/p1-03-register-390x844.png,74419A0CA30A0AEF4CAA25B9922EDA3DDE0DE10F0FA33EBE4C138133383A6AC9,462:45,N/A,P1-03 Register appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,auth,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:47;proof_id=W3-CAN-P1-03-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-04,UI031-VIS-SCREEN-P1-04,N/A,P1-04,RT-005,/auth/otp,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_register_otp_golden_test.dart#P1-04 OTP Verification golden at 390x844,mobile/test/visual/goldens/day14/p1-04-otp-390x844.png,DDF6D234BD1156F91BBA9A5C9684F0A4D9198F04C83054B3E2D29903C8B50691,462:70,N/A,P1-04 OTP Verification appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,auth,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:73;proof_id=W3-CAN-P1-04-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-05,UI031-VIS-SCREEN-P1-05,N/A,P1-05,RT-007,/pets/list,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_pet_golden_test.dart#P1-05 Pet List golden at 390x844,mobile/test/visual/goldens/day18/p1-05-pet-list-390x844.png,1DFA979A7CDA76071FD83CABEE2337DFE995CC251A90A083D3D6B29A73D30E47,462:99,N/A,P1-05 Pet List appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,pets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:102;proof_id=W3-CAN-P1-05-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-06,UI031-VIS-SCREEN-P1-06,N/A,P1-06,RT-008,/pets/create | /pets/:id/edit,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_pet_golden_test.dart#P1-06 Pet Form golden at 390x844,mobile/test/visual/goldens/day18/p1-06-pet-form-390x844.png,93529733B7C1AC343A278A57EB2399CAAD8499A9A4B2D8F7CDADC67FCB6FF548,462:157,N/A,P1-06 Pet Form appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,pets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:151;proof_id=W3-CAN-P1-06-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-07,UI031-VIS-SCREEN-P1-07,N/A,P1-07,RT-006,/pets,N/A,BOTH,390x844,1.0,mobile/test/visual/phase1_home_profile_golden_test.dart#P1-07 Home golden at 390x844,mobile/test/visual/goldens/day19/p1-07-home-390x844.png,34ADFB8F065CC9F2A54EE4014C9D413E7666CEF52D5920396EA351D9C2A22597,462:206,N/A,P1-07 Home Screen appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,pets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:198;proof_id=W3-CAN-P1-07-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-08,UI031-VIS-SCREEN-P1-08,N/A,P1-08,RT-011,/vets/map,N/A,BOTH,390x844,1.0,mobile/test/visual/day23_vet_finder_golden_test.dart#P1-08 Vet Finder Map golden at 390x844,mobile/test/visual/goldens/day23/p1-08-vet-map-390x844.png,32E63A41EB1A8EFCA60DD5D681298078F40A274D96FEEC0704C797C80B26D1B3,462:294,N/A,P1-08 Vet Finder Map appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,vets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:275;proof_id=W3-CAN-P1-08-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-09,UI031-VIS-SCREEN-P1-09,N/A,P1-09,RT-012,/vets/list,N/A,BOTH,390x844,1.0,mobile/test/visual/day23_vet_finder_golden_test.dart#P1-09 Vet Finder List golden at 390x844,mobile/test/visual/goldens/day23/p1-09-vet-list-390x844.png,018A77B74531B00A6674840157A04E1119F1052DA466686B644EA42488D74ADC,462:392,N/A,P1-09 Vet List appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,vets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:357;proof_id=W3-CAN-P1-09-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
UI031-TRACE-SCREEN-P1-10,UI031-VIS-SCREEN-P1-10,N/A,P1-10,RT-013,/vets/:id,N/A,BOTH,390x844,1.0,mobile/test/visual/day24_vet_detail_review_golden_test.dart#P1-10 Vet Detail golden at 390x844,mobile/test/visual/goldens/day24/p1-10-vet-detail-390x844.png,825AEB6CCD4AF1749C58F4C99D9569B98AC893FEDC180B7C3724B36323F200C7,462:475,N/A,P1-10 Vet Detail appears exactly once in the v0.31 denominator and preserves its locked scope,output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/runtime-goldens-71-pass.raw.txt,EC6E7E073BC62B22C34AD873A5CACC993CFC2AE3B8BDE7670297CB3DDA0DA274,SCREEN_RUNTIME_GOLDEN_AND_W3,PASS,N/A,N/A,N/A,N/A,N/A,vets,2026-07-22T17:50:00+07:00,Codex deterministic evidence reconciliation; Product Owner G4B sign-off pending,screen-denominator;classification=RUNTIME_PHASE1;source_node=442:430;proof_id=W3-CAN-P1-10-390x844;w3_matrix_sha256=D9F295525E261D797823F06E872472C0CAB2C2F599F57AB8A74126F1B8D3468A;w3_audit_sha256=5D5DBCB8C12C1768A174B299DE5E4FE818C80B6989C23D3453473698172BAB0F;golden_manifest=docs/qa/ui-v031/W8_RUNTIME_GOLDEN_HASHES.json;execution_overlay=docs/qa/ui-v031/ui_v031_trace_execution_overlay.csv
