state_id,screen_id,state_name,source_node_id,module_scope,runtime_route_or_surface,phase_scope,trigger,expected_ui,primary_action,secondary_action,data_policy,permission_policy,feature_flag,test_status,owner,notes
ST-01,ST-01,Offline Full Screen,442:1633,cross-module,N/A,P1_AND_P2,Cold start has no network and no authorized durable cache,Full-screen offline state with concise cause and no stale success claim,Retry,Return to safe root,Use deterministic fixtures in tests; never invent live data,Apply the destination route permission before retry,N/A,PLANNED,cross-module,Rescue has no across-restart offline cache
ST-02,ST-02,Network Error Retry,442:1664,cross-module,N/A,P1_AND_P2,A request fails because transport or server is unavailable,Inline or full-page error keeps prior safe context and exposes retry,Retry,Dismiss when prior content remains usable,Retain only data permitted by the owning module,Do not bypass auth or owner checks during retry,N/A,PLANNED,cross-module,Failure fingerprint must be deterministic in tests
ST-03,ST-03,Loading Skeleton,442:1707,cross-module,N/A,P1_AND_P2,A route or refresh is awaiting data,Skeleton matches final geometry without fake labels or interactive controls,None,None,Use fixed seed and disabled animation for golden evidence,Loading must not reveal unauthorized prior-session content,N/A,PLANNED,cross-module,Respect reduced motion and accessibility semantics
ST-04,ST-04,Empty First Pet,442:1758,pets,/pets/list,P1,Authenticated account has zero pets,Empty state explains first-pet value and exposes one clear add action,Add pet,Return Home,No fixture pet may appear in runtime,Authenticated account owner only,N/A,PLANNED,pets,Primary action routes to /pets/create
ST-05,ST-05,Empty Nearby Rescue,442:1793,rescue,/rescue,P2,Enabled browse returns an empty first page for the active filter,Honest empty-nearby state shows the active area and does not claim a total count,Adjust search,Refresh,No durable Rescue cache; use sanitized in-memory page only,Public API data may still be behind the authenticated mobile route,PAWMATE_RESCUE_BROWSE_ENABLED=true,PLANNED,rescue,When browse is false show staged state instead of this empty state
ST-06,ST-06,Vet Search No Results,442:1839,vets,/vets/list,P1,Vet query succeeds with zero matching clinics,No-results state keeps query and filters visible,Clear filters,Open map,Keep deterministic public clinic search state,Location permission remains optional,N/A,PLANNED,vets,Map action restores the VET branch root
ST-07,ST-07,Login Success,442:1882,auth,/auth/login,P1,Valid credentials produce a verified session,Accessible success acknowledgement precedes safe returnTo or Home navigation,Continue,None,Clear sensitive form fields after session establishment,Protected destination requires the established session,N/A,PLANNED,auth,Do not expose credentials in logs or evidence
ST-08,ST-08,Login Failure,442:1892,auth,/auth/login,P1,Login is rejected or fails,Form remains populated only with safe fields and announces the error,Try again,Open registration,Never retain or log password,Guest policy remains in force,N/A,PLANNED,auth,Focus moves to summary or first invalid field
ST-09,ST-09,Register Success,442:1918,auth,/auth/register,P1,Registration creates a pending verification record,Success acknowledgement routes to OTP with required safe parameters,Verify code,Return to login,Do not log password or raw verification secret,Account is not treated as active before verification,N/A,PLANNED,auth,Preserve safe returnTo
ST-10,ST-10,Register Failure,442:1936,auth,/auth/register,P1,Validation conflict or server error rejects registration,Form remains editable and announces field or server error,Try again,Open login,Never persist or log password,Guest policy remains in force,N/A,PLANNED,auth,Duplicate account error must be actionable
ST-11,ST-11,Save Update Success,442:1969,cross-module,N/A,P1_AND_P2,An authorized create or update succeeds,Success state names the saved object and updates every visible dependent summary,Continue,Undo only where a real contract exists,Refresh from authoritative repository result,Backend authorization remains authoritative,N/A,PLANNED,cross-module,Applies only to implemented writes
