route_id,record_type,path,current_state,target_navigator,target_branch,auth_policy,feature_flag,deep_link_policy,return_to_policy,expected_result,status,source_ref,owner,notes
RT-001,ROUTE,/launch,LIVE_FLAT_ROUTE,ROOT,NONE,PUBLIC,N/A,OPEN,NOT_USED,Launch resolves onboarding or authenticated entry without entering a shell branch,PLANNED,mobile/lib/app/router/app_router.dart:55,onboarding,Existing route preserved
RT-002,ROUTE,/onboarding,LIVE_FLAT_ROUTE,ROOT,NONE,PUBLIC,N/A,OPEN,PRESERVE_DRAFT,Onboarding remains root-level and preserves the local pet draft across auth navigation,PLANNED,mobile/lib/app/router/app_router.dart:59,onboarding,Existing route preserved
RT-003,ROUTE,/auth/login,LIVE_FLAT_ROUTE,ROOT,NONE,PUBLIC,N/A,OPEN,PRESERVE_AND_VALIDATE,Login accepts only a safe returnTo and reaches the requested protected destination after authentication,PLANNED,mobile/lib/app/router/app_router.dart:63,auth,email verified and returnTo query parameters remain supported
RT-004,ROUTE,/auth/register,LIVE_FLAT_ROUTE,ROOT,NONE,PUBLIC,N/A,OPEN,PRESERVE_AND_VALIDATE,Register preserves safe returnTo and sends a successful registration to OTP,PLANNED,mobile/lib/app/router/app_router.dart:71,auth,email and returnTo query parameters remain supported
RT-005,ROUTE,/auth/otp,LIVE_FLAT_ROUTE,ROOT,NONE,PUBLIC,N/A,OPEN,PRESERVE_AND_VALIDATE,OTP preserves expiry resend and safe returnTo parameters then restores the authenticated destination,PLANNED,mobile/lib/app/router/app_router.dart:78,auth,Existing route preserved
RT-006,ROUTE,/pets,LIVE_FLAT_ROUTE,SHELL,HOME,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Home is the HOME branch root and retains branch state when another tab is selected,PLANNED,mobile/lib/app/router/app_router.dart:92,pets,Target StatefulShellRoute indexedStack root
RT-007,ROUTE,/pets/list,LIVE_FLAT_ROUTE,SHELL,HOME,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Pet list is a HOME child and returns to the HOME root on branch reselect,PLANNED,mobile/lib/app/router/app_router.dart:96,pets,Existing path and deep link preserved
RT-008,ROUTE,/pets/create,LIVE_FLAT_ROUTE,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,PRESERVE_AND_VALIDATE,Pet create opens above the shell and returns only to an allowlisted route,PLANNED,mobile/lib/app/router/app_router.dart:100,pets,Full-screen root navigator route
RT-009,ROUTE,/pets/:id/edit,LIVE_FLAT_ROUTE,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,PRESERVE_AND_VALIDATE,Pet edit opens above the shell and preserves a safe returnTo,PLANNED,mobile/lib/app/router/app_router.dart:105,pets,Full-screen root navigator route
RT-010,ROUTE,/pets/:id,LIVE_FLAT_ROUTE,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,RESTORE_CALLER,Pet detail opens above the shell and back restores the originating branch,PLANNED,mobile/lib/app/router/app_router.dart:112,pets,Full-screen root navigator route
RT-011,ROUTE,/vets/map,LIVE_FLAT_ROUTE,SHELL,VET,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Vet map is the VET branch root and retains map filter and sheet state,PLANNED,mobile/lib/app/router/app_router.dart:117,vets,Target branch root supersedes current bottom-nav /vets/list target
RT-012,ROUTE,/vets/list,LIVE_FLAT_ROUTE,SHELL,VET,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Vet list is a VET child and back or reselect returns to /vets/map with state preserved,PLANNED,mobile/lib/app/router/app_router.dart:121,vets,Existing path and deep link preserved
RT-013,ROUTE,/vets/:id,LIVE_FLAT_ROUTE,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,PRESERVE_AND_VALIDATE,Vet detail opens above the shell and defaults its safe return path to /vets/list,PLANNED,mobile/lib/app/router/app_router.dart:125,vets,Full-screen root navigator route
RT-014,ROUTE,/health,LIVE_FLAT_ROUTE,SHELL,HEALTH,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Health timeline is the HEALTH branch root and retains selected pet and scroll state,PLANNED,mobile/lib/app/router/app_router.dart:132,health,Target StatefulShellRoute indexedStack root
RT-015,ROUTE,/health/events/new,LIVE_FLAT_ROUTE,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,RESTORE_CALLER,Add health event opens above the shell and returns to the originating health surface,PLANNED,mobile/lib/app/router/app_router.dart:136,health,petId query parameter remains supported
RT-016,ROUTE,/health/reminders,LIVE_FLAT_ROUTE,SHELL,HEALTH,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Reminder calendar is a HEALTH child and restores the timeline branch on back or reselect,PLANNED,mobile/lib/app/router/app_router.dart:142,reminders,Existing path preserved
RT-017,ROUTE,/notifications,LIVE_FLAT_ROUTE,SHELL,PROFILE,AUTH_REQUIRED,N/A,OPEN,PRESERVE_AND_VALIDATE,Notification center belongs to PROFILE and preserves a safe returnTo from other entry points,PLANNED,mobile/lib/app/router/app_router.dart:146,notifications,Target branch assignment is explicit
RT-018,ROUTE,/community,LIVE_PLACEHOLDER,ROOT,NONE,AUTH_REQUIRED,N/A,OPEN,NOT_USED,Community remains an honest unavailable placeholder with no fabricated data,PLANNED,mobile/lib/app/router/app_router.dart:152,community,No shell branch assigned until a product contract exists
RT-019,ROUTE,/adoption,LIVE_PLACEHOLDER,SHELL,HOME,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Adoption remains fail-closed as an honest placeholder and performs no adoption API calls,PLANNED,mobile/lib/app/router/app_router.dart:159,adoption,No runtime feature flag exists yet
RT-020,ROUTE,/profile/controls,LIVE_PLACEHOLDER,SHELL,PROFILE,AUTH_REQUIRED,N/A,OPEN,RESTORE_BRANCH,Profile controls remains fail-closed and never pretends to persist settings,PLANNED,mobile/lib/app/router/app_router.dart:168,profile,Phase 2 placeholder
