cta_id,screen_id,source_requirement_id,label,cta_kind,current_enabled,current_handler,target_enabled,target_handler,target_route_or_action,feature_flag,fail_closed_behavior,test_status,owner,source_ref,notes,inventory_phase
CTA-NAV-HOME,P1-07,N/A,Home,NAVIGATION,CONDITIONAL,route:/pets,TRUE,callback:selectShellBranch(HOME),/pets,N/A,Keep current branch visible if selection cannot complete,PASS,router,mobile/lib/core/widgets/pawmate_bottom_nav.dart:17,Target supports root reselect behavior,P1
CTA-NAV-VET,P1-08,N/A,Vet,NAVIGATION,CONDITIONAL,route:/vets/list,TRUE,callback:selectShellBranch(VET),/vets/map,N/A,Keep current branch visible if selection cannot complete,PASS,router,mobile/lib/core/widgets/pawmate_bottom_nav.dart:24,Target branch root changes from list to map,P1
CTA-NAV-HEALTH,P1-12,N/A,Health,NAVIGATION,CONDITIONAL,route:/health,TRUE,callback:selectShellBranch(HEALTH),/health,N/A,Keep current branch visible if selection cannot complete,PASS,router,mobile/lib/core/widgets/pawmate_bottom_nav.dart:30,Target supports root reselect behavior,P1
CTA-NAV-RESCUE,P2-01,P2-IM-001-NAV,Rescue,NAVIGATION,CONDITIONAL,route:/rescue,TRUE,callback:selectShellBranch(RESCUE),/rescue,PAWMATE_RESCUE_BROWSE_ENABLED=false,Open honest staged state and make zero Rescue API calls,PASS,router,mobile/lib/core/widgets/pawmate_bottom_nav.dart:36,Root remains available while browse is off,P2
CTA-NAV-PROFILE,P1-16,P1-IM-022-NAV,Profile,NAVIGATION,CONDITIONAL,route:/profile,TRUE,callback:selectShellBranch(PROFILE),/profile,N/A,Keep current branch visible if selection cannot complete,PASS,router,mobile/lib/core/widgets/pawmate_bottom_nav.dart:42,Target supports root reselect behavior,P1
CTA-P1-01-CONTINUE,P1-01,P1-IM-001-NAV,Tiếp tục,PRIMARY,CONDITIONAL,callback:_finishOnboarding(/auth/register),CONDITIONAL,callback:finishOnboardingAndOpenRegister,/auth/register,N/A,Keep draft and show validation errors without navigation,PASS,onboarding,mobile/lib/features/onboarding/presentation/onboarding_screen.dart:355,Enabled only when not submitting,P1
CTA-P1-01-LOGIN,P1-01,P1-IM-001-NAV,Đã có tài khoản,NAVIGATION,CONDITIONAL,callback:_finishOnboarding(/auth/login),CONDITIONAL,callback:finishOnboardingAndOpenLogin,/auth/login,N/A,Keep draft and remain on onboarding if persistence fails,PASS,onboarding,mobile/lib/features/onboarding/presentation/onboarding_screen.dart:369,Enabled only when not submitting,P1
CTA-P1-02-LOGIN,P1-02,P1-IM-002-NAV,Đăng nhập,PRIMARY,CONDITIONAL,callback:_submitLogin,CONDITIONAL,callback:submitLogin,/pets,N/A,Remain on form and expose an accessible field or server error,PASS,auth,mobile/lib/features/auth/presentation/login_screen.dart:377,Safe returnTo may supersede /pets,P1
CTA-P1-02-REGISTER,P1-02,P1-IM-003-NAV,Đăng ký ngay,NAVIGATION,CONDITIONAL,callback:_openRegister,CONDITIONAL,callback:openRegister,/auth/register,N/A,Remain on login if draft handoff fails,PASS,auth,mobile/lib/features/auth/presentation/login_screen.dart:389,Email may be prefilled,P1
CTA-P1-02-FORGOT,P1-02,N/A,Quên mật khẩu,NAVIGATION,CONDITIONAL,callback:showMvpSnackBar,TRUE,callback:showPasswordResetUnavailable,unavailable:password-reset,N/A,Show an honest unavailable message and do not claim password reset was sent,PASS,auth,mobile/lib/features/auth/presentation/login_screen.dart:321,Current implementation is informational only,P1
CTA-P1-03-CREATE,P1-03,P1-IM-004-NAV,Tạo tài khoản,PRIMARY,CONDITIONAL,callback:_submit,CONDITIONAL,callback:submitRegistration,/auth/otp,N/A,Remain on form and expose accessible validation or server errors,PASS,auth,mobile/lib/features/auth/presentation/register_screen.dart:465,Enabled only when form is valid and not submitting,P1
CTA-P1-03-LOGIN,P1-03,N/A,Đăng nhập,NAVIGATION,CONDITIONAL,callback:_openLogin,CONDITIONAL,callback:openLogin,/auth/login,N/A,Remain on register if draft handoff fails,PASS,auth,mobile/lib/features/auth/presentation/register_screen.dart:476,Safe returnTo is preserved,P1
CTA-P1-04-VERIFY,P1-04,P1-IM-005-NAV,Xác minh,PRIMARY,CONDITIONAL,callback:_submitOtp,CONDITIONAL,callback:submitOtp,/pets,N/A,Remain on OTP and expose invalid or expired code state,PASS,auth,mobile/lib/features/auth/presentation/otp_screen.dart:381,Safe returnTo may supersede /pets,P1
CTA-P1-04-RESEND,P1-04,P1-IM-006-NAV,Gửi lại mã,PRIMARY,CONDITIONAL,callback:_resendOtp,CONDITIONAL,callback:resendOtp,action:resend-otp,N/A,Keep expired state and expose rate limit or network error,PASS,auth,mobile/lib/features/auth/presentation/otp_screen.dart:526,Timer controls enabled state,P1
CTA-P1-04-CHANGE-EMAIL,P1-04,N/A,Đổi email,NAVIGATION,CONDITIONAL,callback:_changeEmail,CONDITIONAL,callback:changeEmail,/auth/register,N/A,Preserve safe registration context,PASS,auth,mobile/lib/features/auth/presentation/otp_screen.dart:537,Disabled while resend is active,P1
