defect_id,severity,type,owner_wave,status,summary,root_cause,resolution,regression_evidence,notes
UI031-DEFECT-W8-FAB-HERO-01,P1,PRODUCT,W5,RESOLVED,"Hero tag collisions on Health Reminder and Vet FABs","Several branch-local FABs shared Flutter's default hero tag","Assigned stable unique heroTag values and added route sweep coverage","mobile/test/app/router/app_router_contract_test.dart; full suite 411 PASS","No GlobalKey or Hero collision remains in the route sweep"
UI031-DEFECT-W8-ONBOARDING-SAFEAREA-01,P1,PRODUCT,W6-A,RESOLVED,"Onboarding progress rails could sit under the Android status bar","The progress overlay used a fixed top offset without the system inset","Derived the rail top from MediaQuery.padding and added a top-inset regression test","mobile/test/features/onboarding/onboarding_screen_test.dart; API 34/35/36 screenshots","Historical resolution; superseded by UI031-CHANGE-W8-P1-01-NO-RAILS-02 because rails no longer render"
UI031-DEFECT-W8-ONBOARDING-RASTER-01,P1,ASSET,W6-A,RESOLVED,"Onboarding displayed duplicate progress rails camera control and panel edge","Those UI elements were baked into onboarding_dog.png while Flutter rendered a second real control layer","ImageGen removed only the baked UI; the original was hashed and archived; five approved onboarding masters were rebaselined with before/diff/after evidence","W8_RUNTIME_GOLDEN_HASHES_ONBOARDING_RASTER_FIX_01.json; 83/83 contract validator; API 34/35/36 screenshots","Original asset SHA-256 8F8FD419FDECF8986DD2192A79C1F34CBF4C730CFBDD2EC8B3C0C7C883907B19; final 2B004368A6D84BD6F58AA1FAA35C852E073087A0A771BDC3F2818889BCCB0D33"
UI031-CHANGE-W8-P1-01-NO-RAILS-02,P1,PRODUCT_CHANGE,W6-A,RESOLVED,"Remove all three progress rails from P1-01","Product Owner approved a simpler single-screen onboarding without a multi-step affordance","Removed the Flutter rail overlay and its obsolete classes while preserving hero semantics photo picker form and actions; updated only five P1-01 goldens","onboarding-rails-removal targeted 8/8; visual 101/101; W8_RUNTIME_GOLDEN_HASHES.json","Parents UI031-DEFECT-W8-ONBOARDING-RASTER-01; Figma rollback image node 453:7383 remains hidden"
ENV-W8-API35-MISSING-01,P2,ENVIRONMENT,W8,RESOLVED,"Android API 35 image was absent","The local SDK initially contained only API 34 and 36 images","Installed official Google APIs x86_64 revision 9 created PawMate_API_35 and ran two device tests plus final APK","W8/android-api35/codex-rtk-safe-20260721-203058-61b33d7f.raw.txt; W8_DEVICE_MATRIX.csv","The older command-line tools emit an SDK XML v4 warning but installation and runtime pass"
ENV-W8-INSTRUMENTATION-APK-01,P2,TEST_HARNESS,W8,RESOLVED,"Direct API 35 launch initially stayed on splash","flutter test -d had overwritten app-debug.apk with an integration-test instrumentation build","Rebuilt the ordinary APK and repeated install clear and cold start","W8/android-api35/codex-rtk-safe-20260721-203944-f22b45e3.raw.txt; final screenshot","Not a product defect"
GATE-W8-W3-RESPONSIVE-01,GATE,UPSTREAM,W3,RESOLVED,"Figma responsive proof and conformance remain incomplete","The original W3 audit found only 15 of 77 responsive proof frames plus unsupported fonts and direct geometry violations","Executed the Product Owner-approved exact 77-row matrix and seven-screen selection; reconciled 62 created plus 15 inherited rows with zero unexpected rows","docs/qa/ui-v031/W3_POST_WRITE_AUDIT_2026-07-22.json; docs/qa/ui-v031/W3_RESPONSIVE_PROOF_MATRIX_PROPOSAL.csv","Closed by the approved W3 successor evidence chain; historical fail-closed audit remains preserved"
GATE-W8-IOS-POSTCHANGE-01,GATE,EXTERNAL,W7,OPEN,"No post-change iOS simulator compile/render","The current UI source exists only in a 513-path dirty local tree; origin/main remains at 4910aa0 and Windows cannot run Xcode","Publish an authorized isolated CI revision then run ios-appetize-simulator-smoke; the workflow now boots installs launches screenshots hashes and scans fatal logs","codemagic.yaml; docs/qa/ui-v031/W7_NATIVE_REPORT.md","YAML and Bash syntax checks pass locally; pre-rework build 6a5f426f3432213ac398e71a remains baseline evidence only"
GATE-W8-TRACEABILITY-01,GATE,EVIDENCE,W8,RESOLVED,"All 191 frozen trace rows still have status PLANNED","The original schema had no row-bound execution overlay","Generated portable evidence overlays for screen route state 82 CTA rows and seven TalkBack journeys; regenerated and validated 191 PASS rows","docs/qa/ui-v031/ui_v031_traceability.csv; output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/cta-row-proof-20260723/cta-row-proof-index.json","19/19 validator tests PASS; 191 PASS and 0 PLANNED"
GATE-W8-A11Y-JOURNEYS-01,GATE,ACCESSIBILITY,W8,RESOLVED,"Seven named accessibility journeys are not all device-verified","Automated semantics and one onboarding sample did not prove distinct journey traversal","Executed AUTH HOME VET HEALTH NOTIFICATIONS PROFILE and RESCUE with TalkBack 16 on Android API 36 at font scale 2.0; fixed semantic separation and tap-action defects","output-evidence/ui-v031/UI-CC-2026-07-21-G4B/W8/talkback-journeys-20260723/talkback-journey-index.json; W8_ACCESSIBILITY_PERFORMANCE_REPORT.md","VoiceOver remains in G4C under the approved exception"
