"proof_id","kind","screen_id","state","proof_viewport","runtime_reference_viewport","source_v031_frame_id","target_v032_section_id","target_v032_frame_id","safe_area_policy","expected_evidence","status","approval"
"W3-CAN-P1-01-390x844","canonical_screen","P1-01","RUNTIME_PHASE1","390x844","390x844","453:7378","453:10333","462:5","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-02-390x844","canonical_screen","P1-02","RUNTIME_PHASE1","390x844","390x844","453:7395","453:10333","462:22","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-03-390x844","canonical_screen","P1-03","RUNTIME_PHASE1","390x844","390x844","453:7421","453:10333","462:45","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-04-390x844","canonical_screen","P1-04","RUNTIME_PHASE1","390x844","390x844","453:7449","453:10333","462:70","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-05-390x844","canonical_screen","P1-05","RUNTIME_PHASE1","390x844","390x844","453:7481","453:10333","462:99","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-06-390x844","canonical_screen","P1-06","RUNTIME_PHASE1","390x844","390x844","453:7542","453:10333","462:157","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-07-390x844","canonical_screen","P1-07","RUNTIME_PHASE1","390x844","390x844","453:7594","453:10333","462:206","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-08-390x844","canonical_screen","P1-08","RUNTIME_PHASE1","390x844","390x844","453:7685","453:10333","462:294","map-edge-to-edge-with-safe-controls","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-09-390x844","canonical_screen","P1-09","RUNTIME_PHASE1","390x844","390x844","453:7786","453:10333","462:392","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-10-390x844","canonical_screen","P1-10","RUNTIME_PHASE1","390x844","390x844","453:7872","453:10333","462:475","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-11-390x844","canonical_screen","P1-11","RUNTIME_PHASE1","390x844","390x844","453:7924","453:10333","462:524","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-12-390x844","canonical_screen","P1-12","RUNTIME_PHASE1","390x844","390x844","453:7975","453:10333","462:572","shell-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-13-390x844","canonical_screen","P1-13","RUNTIME_PHASE1","390x844","390x844","453:8065","453:10333","462:659","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
"W3-CAN-P1-14-390x844","canonical_screen","P1-14","RUNTIME_PHASE1","390x844","390x844","453:8125","453:10333","462:716","system-insets","Figma v0.32 canonical frame; metadata, screenshot, and source fingerprint","EXECUTED_PASS","APPROVED_FOR_W3_EXECUTION"
