screen_id,phase,screen_name,figma_source_section_id,figma_source_node_id,source_node_name,classification,runtime_route_or_surface,module_owner,bottom_nav,safe_area_policy,status
P1-01,P1,Onboarding,442:2,442:6,NativeEditable/P1-01 P1-01 Onboarding,RUNTIME_PHASE1,/onboarding,onboarding,no,system-insets,LOCKED
P1-02,P1,Login Screen,442:2,442:23,NativeEditable/P1-02 P1-02 Login Screen,RUNTIME_PHASE1,/auth/login,auth,no,system-insets,LOCKED
P1-03,P1,Register,442:2,442:47,NativeEditable/P1-03 P1-03 Register,RUNTIME_PHASE1,/auth/register,auth,no,system-insets,LOCKED
P1-04,P1,OTP Verification,442:2,442:73,NativeEditable/P1-04 P1-04 OTP Verification,RUNTIME_PHASE1,/auth/otp,auth,no,system-insets,LOCKED
P1-05,P1,Pet List,442:2,442:102,NativeEditable/P1-05 P1-05 Pet List,RUNTIME_PHASE1,/pets/list,pets,yes,shell-insets,LOCKED
P1-06,P1,Pet Form,442:2,442:151,NativeEditable/P1-06 P1-06 Pet Form,RUNTIME_PHASE1,/pets/create | /pets/:id/edit,pets,no,system-insets,LOCKED
P1-07,P1,Home Screen,442:2,442:198,NativeEditable/P1-07 P1-07 Home Screen,RUNTIME_PHASE1,/pets,pets,yes,shell-insets,LOCKED
P1-08,P1,Vet Finder Map,442:2,442:275,NativeEditable/P1-08 P1-08 Vet Finder Map,RUNTIME_PHASE1,/vets/map,vets,yes,map-edge-to-edge-with-safe-controls,LOCKED
P1-09,P1,Vet List,442:2,442:357,NativeEditable/P1-09 P1-09 Vet List,RUNTIME_PHASE1,/vets/list,vets,yes,shell-insets,LOCKED
P1-10,P1,Vet Detail,442:2,442:430,NativeEditable/P1-10 P1-10 Vet Detail,RUNTIME_PHASE1,/vets/:id,vets,no,system-insets,LOCKED
P1-11,P1,Write Review,442:2,442:473,NativeEditable/P1-11 P1-11 Write Review,RUNTIME_PHASE1,modal:vet-review,vets,no,system-insets,LOCKED
P1-12,P1,Health Timeline,442:2,442:516,NativeEditable/P1-12 P1-12 Health Timeline,RUNTIME_PHASE1,/health,health,yes,shell-insets,LOCKED
P1-13,P1,Add Health Event,442:2,442:589,NativeEditable/P1-13 P1-13 Add Health Event,RUNTIME_PHASE1,/health/events/new,health,no,system-insets,LOCKED
P1-14,P1,Reminder Calendar,442:2,442:639,NativeEditable/P1-14 P1-14 Reminder Calendar,RUNTIME_PHASE1,/health/reminders,reminders,no,system-insets,LOCKED
P1-15,P1,Notification Center,442:2,442:732,NativeEditable/P1-15 P1-15 Notification Center,RUNTIME_PHASE1,/notifications,notifications,no,system-insets,LOCKED
P1-16,P1,Profile Screen,442:2,442:792,NativeEditable/P1-16 P1-16 Profile Screen,RUNTIME_PHASE1,/profile,profile,yes,shell-insets,LOCKED
P2-01,P2,Rescue Home,442:2,442:855,NativeEditable/P2-01 P2-01 Rescue Home,STAGED_PHASE2_FLAG_OFF,/rescue,rescue,yes,shell-insets,LOCKED
P2-02,P2,Create Lost Alert,442:2,442:908,NativeEditable/P2-02 P2-02 Create Lost Alert,DESIGN_ONLY_PHASE2,/rescue/drafts/new,rescue,no,system-insets,LOCKED
P2-03,P2,Lost Info Form,442:2,442:949,NativeEditable/P2-03 P2-03 Lost Info Form,DESIGN_ONLY_PHASE2,/rescue/drafts/:draftId/details,rescue,no,system-insets,LOCKED
P2-04,P2,Case Detail,442:2,442:984,NativeEditable/P2-04 P2-04 Case Detail,DESIGN_ONLY_PHASE2,/rescue/cases/:caseId,rescue,no,system-insets,LOCKED
P2-05,P2,Rescue Map,442:2,442:1016,NativeEditable/P2-05 P2-05 Rescue Map,DESIGN_ONLY_PHASE2,/rescue/map,rescue,no,map-edge-to-edge-with-safe-controls,LOCKED
P2-06,P2,Case Comment,442:2,442:1076,NativeEditable/P2-06 P2-06 Case Comment,DESIGN_ONLY_PHASE2,/rescue/cases/:caseId/comment,rescue,no,system-insets-and-ime,LOCKED
P2-07,P2,Case Status Update,442:2,442:1120,NativeEditable/P2-07 P2-07 Case Status Update,DESIGN_ONLY_PHASE2,/rescue/cases/:caseId/status,rescue,no,system-insets,LOCKED
P2-08,P2,Case Discussion,442:2,442:1167,NativeEditable/P2-08 P2-08 Case Discussion,DESIGN_ONLY_PHASE2,/rescue/cases/:caseId/discussion,rescue,no,system-insets-and-ime,LOCKED
P2-09,P2,Adoption Swipe Deck,442:2,442:1235,NativeEditable/P2-09 P2-09 Adoption Swipe Deck,DESIGN_ONLY_PHASE2,/adoption,adoption,no,system-insets,LOCKED
P2-10,P2,Adoption Profile,442:2,442:1288,NativeEditable/P2-10 P2-10 Adoption Profile,DESIGN_ONLY_PHASE2,proposed:/adoption/pets/:id,adoption,no,system-insets,LOCKED
P2-11,P2,Adoption Request Form,442:2,442:1330,NativeEditable/P2-11 P2-11 Adoption Request Form,DESIGN_ONLY_PHASE2,proposed:/adoption/requests/new,adoption,no,system-insets-and-ime,LOCKED
P2-12,P2,Shelter Chat,442:2,442:1368,NativeEditable/P2-12 P2-12 Shelter Chat,DESIGN_ONLY_PHASE2,proposed:/adoption/requests/:id/chat,adoption,no,system-insets-and-ime,LOCKED
P2-13,P2,Health Hub,442:2,442:1408,NativeEditable/P2-13 P2-13 Health Hub,DESIGN_ONLY_PHASE2,/health,health,yes,shell-insets,LOCKED
